Date,Price,Open,High,Low,Volume,Chg%
"Apr 29, 2022",150.77,150.77,150.77,150.77,0,-0.28%
"Apr 28, 2022",151.19,151.19,151.19,151.19,0,-0.28%
"Apr 27, 2022",151.62,151.62,151.62,151.62,0,-0.30%
"Apr 26, 2022",152.08,152.08,152.08,152.08,0,-0.26%
"Apr 25, 2022",152.47,152.47,152.47,152.47,0,-1.08%
"Apr 22, 2022",154.13,154.13,154.13,154.13,0,-0.09%
"Apr 21, 2022",154.27,154.27,154.27,154.27,0,-0.09%
"Apr 20, 2022",154.41,154.41,154.41,154.41,0,-0.11%
"Apr 19, 2022",154.58,154.58,154.58,154.58,0,-0.67%
"Apr 18, 2022",155.62,155.62,155.62,155.62,0,-0.04%
"Apr 14, 2022",155.69,155.69,155.69,155.69,0,0.66%
"Apr 13, 2022",154.67,154.67,154.67,154.67,0,-0.57%
"Apr 12, 2022",155.56,155.56,155.56,155.56,0,-0.24%
"Apr 11, 2022",155.94,155.94,155.94,155.94,0,1.12%
"Apr 08, 2022",154.21,154.21,154.21,154.21,0,-1.96%
"Apr 07, 2022",157.29,157.29,157.29,157.29,0,-1.74%
"Apr 06, 2022",160.08,160.08,160.08,160.08,0,-0.73%
"Apr 05, 2022",161.25,161.25,161.25,161.25,0,-0.36%
"Apr 04, 2022",161.84,161.84,161.84,161.84,0,1.24%
"Apr 01, 2022",159.85,159.85,159.85,159.85,0,5.97%
"Mar 31, 2022",150.84,150.84,150.84,150.84,0,0.15%
"Mar 30, 2022",150.61,150.61,150.61,150.61,0,0.31%
"Mar 29, 2022",150.14,150.14,150.14,150.14,0,0.00%
"Mar 28, 2022",150.14,150.14,150.14,150.14,0,0.18%
"Mar 25, 2022",149.87,149.87,149.87,149.87,0,0.16%
"Mar 24, 2022",149.63,149.63,149.63,149.63,0,0.04%
"Mar 23, 2022",149.57,149.57,149.57,149.57,0,-0.07%
"Mar 22, 2022",149.68,149.68,149.68,149.68,0.03K,-0.53%
"Mar 21, 2022",150.47,150.47,150.47,150.47,0,-0.08%
"Mar 18, 2022",150.59,150.59,150.59,150.59,0,0.63%
"Mar 17, 2022",149.65,149.65,149.65,149.65,0,0.54%
"Mar 16, 2022",148.85,148.85,148.85,148.85,0,2.82%
"Mar 15, 2022",144.77,144.77,144.77,144.77,0,-3.56%
"Mar 14, 2022",150.11,150.11,150.11,150.11,0,-3.38%
"Mar 11, 2022",155.36,155.36,155.36,155.36,0,-1.01%
"Mar 10, 2022",156.95,156.95,156.95,156.95,0,-0.41%
"Mar 09, 2022",157.59,157.59,157.59,157.59,0,-2.09%
"Mar 08, 2022",160.96,160.96,160.96,160.96,0,1.35%
"Mar 07, 2022",158.82,158.82,158.82,158.82,0,4.29%
"Mar 04, 2022",152.28,152.28,152.28,152.28,0,0.77%
"Mar 03, 2022",151.11,151.11,151.11,151.11,0,3.45%
"Mar 02, 2022",146.07,146.07,146.07,146.07,0,1.83%
"Mar 01, 2022",143.45,143.45,143.45,143.45,0,1.03%
"Feb 28, 2022",141.99,141.99,141.99,141.99,0,0.16%
"Feb 25, 2022",141.76,141.76,141.76,141.76,0,-0.63%
"Feb 24, 2022",142.66,142.66,142.66,142.66,0,-0.21%
"Feb 23, 2022",142.96,142.96,142.96,142.96,0,-0.21%
"Feb 22, 2022",143.26,143.26,143.26,143.26,0,1.52%
"Feb 18, 2022",141.11,141.11,141.11,141.11,0,-1.93%
"Feb 17, 2022",143.88,143.88,143.88,143.88,0,1.16%
"Feb 16, 2022",142.23,142.23,142.23,142.23,0,-1.84%
"Feb 15, 2022",144.89,144.89,144.89,144.89,0,-1.27%
"Feb 14, 2022",146.76,146.76,146.76,146.76,0,-2.72%
"Feb 11, 2022",150.87,150.87,150.87,150.87,0,-0.46%
"Feb 10, 2022",151.57,151.57,151.57,151.57,0,2.66%
"Feb 09, 2022",147.64,147.64,147.64,147.64,0,-0.80%
"Feb 08, 2022",148.83,148.83,148.83,148.83,0,-0.85%
"Feb 07, 2022",150.11,150.11,150.11,150.11,0.03K,3.20%
"Feb 04, 2022",145.45,145.45,145.45,145.45,0,-0.34%
"Feb 03, 2022",145.95,145.95,145.95,145.95,0.01K,4.26%
"Feb 02, 2022",139.98,139.98,139.98,139.98,0,0.86%
"Feb 01, 2022",138.79,138.79,138.79,138.79,0,5.83%
"Jan 31, 2022",131.15,131.15,131.15,131.15,0,0.26%
"Jan 28, 2022",130.81,130.81,130.81,130.81,0.01K,0.65%
"Jan 27, 2022",129.96,129.96,129.96,129.96,0.02K,0.43%
"Jan 26, 2022",129.4,129.4,129.4,129.4,0,-0.42%
"Jan 25, 2022",129.94,129.94,129.94,129.94,0,0.93%
"Jan 24, 2022",128.74,128.74,128.74,128.74,0,-0.58%
"Jan 21, 2022",129.49,129.49,129.49,129.49,0,0.31%
"Jan 20, 2022",129.09,129.09,129.09,129.09,0,1.32%
"Jan 19, 2022",127.41,127.41,127.41,127.41,0.02K,-0.05%
"Jan 18, 2022",127.48,127.48,127.48,127.48,0,0.98%
"Jan 14, 2022",126.24,126.24,126.24,126.24,0.01K,-1.25%
"Jan 13, 2022",127.84,127.84,127.84,127.84,0.02K,-0.64%
"Jan 12, 2022",128.66,128.66,128.66,128.66,0.02K,1.51%
"Jan 11, 2022",126.75,126.75,126.75,126.75,0,1.82%
"Jan 10, 2022",124.48,124.48,124.48,124.48,0,-1.37%
"Jan 07, 2022",126.21,126.21,126.21,126.21,0,0.21%
"Jan 06, 2022",125.94,125.94,125.94,125.94,0,1.45%
"Jan 05, 2022",124.14,124.14,124.14,124.14,0,2.67%
"Jan 04, 2022",120.91,120.91,120.91,120.91,0.20K,0.42%
"Jan 03, 2022",120.4,120.4,120.4,120.4,0,7.02%
"Dec 31, 2021",112.5,112.5,112.5,112.5,0,0.23%
"Dec 30, 2021",112.24,112.24,112.24,112.24,0,-0.09%
"Dec 29, 2021",112.34,112.34,112.34,112.34,0,0.04%
"Dec 28, 2021",112.29,112.29,112.29,112.29,0,-0.62%
"Dec 27, 2021",112.99,112.99,112.99,112.99,0,0.40%
"Dec 23, 2021",112.54,112.54,112.54,112.54,0,0.00%
"Dec 22, 2021",112.54,112.54,112.54,112.54,0,-0.97%
"Dec 21, 2021",113.64,113.64,113.64,113.64,0,-0.13%
"Dec 20, 2021",113.79,113.79,113.79,113.79,0,1.93%
"Dec 17, 2021",111.64,111.64,111.64,111.64,0,0.40%
"Dec 16, 2021",111.19,111.19,111.19,111.19,0,1.80%
"Dec 15, 2021",109.22,109.22,109.22,109.22,0,2.04%
"Dec 14, 2021",107.04,107.04,107.04,107.04,0,-1.35%
"Dec 13, 2021",108.51,108.51,108.51,108.51,0,3.34%
"Dec 10, 2021",105,105,105,105,0,-1.40%
"Dec 09, 2021",106.49,106.49,106.49,106.49,0,-0.26%
"Dec 08, 2021",106.77,106.77,106.77,106.77,0,-1.18%
"Dec 07, 2021",108.04,108.04,108.04,108.04,0,4.14%
"Dec 06, 2021",103.74,103.74,103.74,103.74,0,2.22%
"Dec 03, 2021",101.49,101.49,101.49,101.49,0,-0.32%
"Dec 02, 2021",101.82,101.82,101.82,101.82,0,-1.31%
"Dec 01, 2021",103.17,103.17,103.17,103.17,0,8.63%
"Nov 30, 2021",94.97,94.97,94.97,94.97,0,0.27%
"Nov 29, 2021",94.71,94.71,94.71,94.71,0,0.29%
"Nov 26, 2021",94.44,94.44,94.44,94.44,0,0.12%
"Nov 24, 2021",94.33,94.33,94.33,94.33,0,0.36%
"Nov 23, 2021",93.99,93.99,93.99,93.99,0,0.64%
"Nov 22, 2021",93.39,93.39,93.39,93.39,0,0.66%
"Nov 19, 2021",92.78,92.78,92.78,92.78,0,0.84%
"Nov 18, 2021",92.01,92.01,92.01,92.01,0,-0.81%
"Nov 17, 2021",92.76,92.76,92.76,92.76,0,0.82%
"Nov 16, 2021",92.01,92.01,92.01,92.01,0,-0.38%
"Nov 15, 2021",92.36,92.36,92.36,92.36,0,-1.11%
"Nov 12, 2021",93.4,93.4,93.4,93.4,0,-0.25%
"Nov 11, 2021",93.63,93.63,93.63,93.63,0,1.56%
"Nov 10, 2021",92.19,92.19,92.19,92.19,0,0.23%
"Nov 09, 2021",91.98,91.98,91.98,91.98,0,-2.52%
"Nov 08, 2021",94.36,94.36,94.36,94.36,0,-0.07%
"Nov 05, 2021",94.43,94.43,94.43,94.43,0,-2.82%
"Nov 04, 2021",97.17,97.17,97.17,97.17,0,-2.19%
"Nov 03, 2021",99.35,99.35,99.35,99.35,0,-0.05%
"Nov 02, 2021",99.4,99.4,99.4,99.4,0,-3.10%
"Nov 01, 2021",102.58,102.58,102.58,102.58,0,-15.38%
"Oct 29, 2021",121.23,121.23,121.23,121.23,0,-0.58%
"Oct 28, 2021",121.94,121.94,121.94,121.94,0,-0.34%
"Oct 27, 2021",122.36,122.36,122.36,122.36,0,-0.09%
"Oct 26, 2021",122.47,122.47,122.47,122.47,0,0.34%
"Oct 25, 2021",122.06,122.06,122.06,122.06,0,-0.36%
"Oct 22, 2021",122.5,122.5,122.5,122.5,0,-0.32%
"Oct 21, 2021",122.89,122.89,122.89,122.89,0,-0.49%
"Oct 20, 2021",123.49,123.49,123.49,123.49,0,0.15%
"Oct 19, 2021",123.3,123.3,123.3,123.3,0,-0.08%
"Oct 18, 2021",123.4,123.4,123.4,123.4,0,0.17%
"Oct 15, 2021",123.19,123.19,123.19,123.19,0,0.29%
"Oct 14, 2021",122.83,122.83,122.83,122.83,0,0.44%
"Oct 13, 2021",122.29,122.29,122.29,122.29,0,-3.27%
"Oct 12, 2021",126.42,126.42,126.42,126.42,0.13K,-2.93%
"Oct 11, 2021",130.24,130.24,130.24,130.24,0,6.01%
"Oct 08, 2021",122.86,122.86,122.86,122.86,0,4.03%
"Oct 07, 2021",118.1,118.1,118.1,118.1,0,0.36%
"Oct 06, 2021",117.68,117.68,117.68,117.68,0,-0.14%
"Oct 05, 2021",117.85,117.85,117.85,117.85,0,0.08%
"Oct 04, 2021",117.76,117.76,117.76,117.76,0,1.73%
"Oct 01, 2021",115.76,115.76,115.76,115.76,0,-3.25%
"Sep 30, 2021",119.65,119.65,119.65,119.65,0,-0.04%
"Sep 29, 2021",119.7,119.7,119.7,119.7,0,-0.16%
"Sep 28, 2021",119.89,119.89,119.89,119.89,0,-0.28%
"Sep 27, 2021",120.23,120.23,120.23,120.23,0,0.11%
"Sep 24, 2021",120.1,120.1,120.1,120.1,0,-0.29%
"Sep 23, 2021",120.45,120.45,120.45,120.45,0,-0.23%
"Sep 22, 2021",120.73,120.73,120.73,120.73,0,1.45%
"Sep 21, 2021",119.01,119.01,119.01,119.01,0.01K,1.71%
"Sep 20, 2021",117.01,117.01,117.01,117.01,0,-4.87%
"Sep 17, 2021",123,123,123,123,0,2.53%
"Sep 16, 2021",119.96,119.96,119.96,119.96,0,-3.38%
"Sep 15, 2021",124.16,124.16,124.16,124.16,0,-3.08%
"Sep 14, 2021",128.11,128.11,128.11,128.11,0,-1.20%
"Sep 13, 2021",129.66,129.66,129.66,129.66,0,-2.64%
"Sep 10, 2021",133.18,133.18,133.18,133.18,0,-0.48%
"Sep 09, 2021",133.82,133.82,133.82,133.82,0,-1.28%
"Sep 08, 2021",135.56,135.56,135.56,135.56,0,-2.47%
"Sep 07, 2021",138.99,138.99,138.99,138.99,0.24K,-4.03%
"Sep 03, 2021",144.83,144.83,144.83,144.83,0,3.05%
"Sep 02, 2021",140.54,140.54,140.54,140.54,0.10K,-1.78%
"Sep 01, 2021",143.08,143.08,143.08,143.08,0,-10.15%
"Aug 31, 2021",159.25,159.25,159.25,159.25,0,-0.21%
"Aug 30, 2021",159.58,159.58,159.58,159.58,0,-0.06%
"Aug 27, 2021",159.68,159.68,159.68,159.68,0,0.03%
"Aug 26, 2021",159.63,159.63,159.63,159.63,0,-0.18%
"Aug 25, 2021",159.92,159.92,159.92,159.92,0,-0.09%
"Aug 24, 2021",160.07,160.07,160.07,160.07,0,0.42%
"Aug 23, 2021",159.4,159.4,159.4,159.4,0,-0.71%
"Aug 20, 2021",160.54,160.54,160.54,160.54,0,0.10%
"Aug 19, 2021",160.38,160.38,160.38,160.38,0,0.50%
"Aug 18, 2021",159.59,159.59,159.59,159.59,0,-4.63%
"Aug 17, 2021",167.34,167.34,167.34,167.34,0,0.23%
"Aug 16, 2021",166.96,166.96,166.96,166.96,0,-0.59%
"Aug 13, 2021",167.95,167.95,167.95,167.95,0,0.01%
"Aug 12, 2021",167.94,167.94,167.94,167.94,0,-0.66%
"Aug 11, 2021",169.06,169.06,169.06,169.06,0,0.28%
"Aug 10, 2021",168.59,168.59,168.59,168.59,0,-2.84%
"Aug 09, 2021",173.52,173.52,173.52,173.52,0,0.88%
"Aug 06, 2021",172.01,172.01,172.01,172.01,0,0.06%
"Aug 05, 2021",171.91,171.91,171.91,171.91,0,-5.81%
"Aug 04, 2021",182.51,182.51,182.51,182.51,0,0.83%
"Aug 03, 2021",181.01,181.01,181.01,181.01,0,-0.11%
"Aug 02, 2021",181.21,181.21,181.21,181.21,0,-14.52%
"Jul 30, 2021",211.99,211.99,211.99,211.99,0,-0.72%
"Jul 29, 2021",213.52,213.52,213.52,213.52,0,-0.43%
"Jul 28, 2021",214.44,214.44,214.44,214.44,0,-0.26%
"Jul 27, 2021",214.99,214.99,214.99,214.99,0,-0.08%
