Date,Price,Open,High,Low,Volume,Chg%
"Dec 30, 2022",24.04,24.105,24.36,23.705,40.89K,-0.87%
"Dec 29, 2022",24.25,23.725,24.28,23.69,36.90K,1.72%
"Dec 28, 2022",23.84,24.24,24.275,23.645,34.29K,-1.56%
"Dec 27, 2022",24.217,24.05,24.495,23.975,45.23K,0.67%
"Dec 26, 2022",24.055,24.008,24.168,23.968,0,0.56%
"Dec 23, 2022",23.92,23.74,24.095,23.685,31.56K,1.26%
"Dec 22, 2022",23.622,24.195,24.315,23.55,46.20K,-2.36%
"Dec 21, 2022",24.194,24.395,24.525,24.055,36.77K,-0.32%
"Dec 20, 2022",24.271,23.18,24.49,23.05,72.52K,4.62%
"Dec 19, 2022",23.199,23.415,23.625,23.03,33.18K,-0.62%
"Dec 18, 2022",23.343,23.413,23.413,23.332,0,0.06%
"Dec 16, 2022",23.328,23.27,23.445,22.735,51.26K,0.10%
"Dec 15, 2022",23.305,24.18,24.18,23.155,61.90K,-3.44%
"Dec 14, 2022",24.136,23.965,24.275,23.605,51.52K,0.61%
"Dec 13, 2022",23.99,23.52,24.39,23.49,74.31K,2.51%
"Dec 12, 2022",23.403,23.65,23.765,23.32,39.13K,-0.74%
"Dec 11, 2022",23.578,23.688,23.73,23.567,0,-0.59%
"Dec 09, 2022",23.717,23.305,23.9,23.14,53.44K,2.03%
"Dec 08, 2022",23.246,22.92,23.425,22.725,44.88K,1.41%
"Dec 07, 2022",22.922,22.35,23.01,22.255,51.54K,2.63%
"Dec 06, 2022",22.335,22.435,22.78,22.19,49.86K,-0.37%
"Dec 05, 2022",22.417,23.29,23.69,22.35,72.92K,-4.48%
"Dec 04, 2022",23.468,23.328,23.488,23.297,0,0.94%
"Dec 02, 2022",23.25,22.975,23.475,22.48,74.94K,1.79%
"Dec 01, 2022",22.841,22.41,23.005,22.24,73.64K,4.87%
"Nov 30, 2022",21.781,21.415,22.41,21.355,63.51K,1.61%
"Nov 29, 2022",21.436,21.13,21.635,21.06,46.73K,1.47%
"Nov 28, 2022",21.125,21.64,21.815,21.045,59.18K,-0.79%
